"Tumor_Sample_Barcode","total","total_perMB","total_perMB_log"
"Z8078_T1_DKDL230009036-1A_HLGLNDSX7_L1",8,0.242424242424242,-0.615423952885944
"z8500_T1_DKDL230009033-1A_HLGLNDSX7_L1",8,0.242424242424242,-0.615423952885944
"z9287_T3_DKDL230010209-1A_HTJYJDSX7_L3",8,0.242424242424242,-0.615423952885944
"z9653_T1_DKDL230009037-1A_HLGLNDSX7_L2",8,0.242424242424242,-0.615423952885944
"BC047_T1_DKDL230008410-1A_HJJMVDSX7_L1",9,0.272727272727273,-0.564271430438563
"BC239_T1_DKDL230008410-1A_HJJMVDSX7_L1",9,0.272727272727273,-0.564271430438563
"z10087_T1_DKDL230009031-1A_HLGLNDSX7_L1",9,0.272727272727273,-0.564271430438563
"z10455_T1_DKDL230009035-1A_HLGLNDSX7_L1",9,0.272727272727273,-0.564271430438563
"z135_T1_DKDL230010210-1A_HTJYJDSX7_L3",9,0.272727272727273,-0.564271430438563
"z2380_T1_DKDL230010209-1A_HTJYJDSX7_L3",9,0.272727272727273,-0.564271430438563
"z2574_T1_DKDL230010212-1A_HTJYJDSX7_L4",9,0.272727272727273,-0.564271430438563
"z3974_T1_DKDL230009037-1A_HLGLNDSX7_L2",9,0.272727272727273,-0.564271430438563
"z4328_T1_DKDL230009038-1A_HLGGCDSX7_L1_C",9,0.272727272727273,-0.564271430438563
"z450_T1_DKDL230010211-1A_HTJYJDSX7_L4",9,0.272727272727273,-0.564271430438563
"z4596_T1_DKDL230009038-1A_HLGGCDSX7_L1_C",9,0.272727272727273,-0.564271430438563
"z4913_T1_DKDL230009038-1A_HLGGCDSX7_L1_C",9,0.272727272727273,-0.564271430438563
"z8_T1_DKDL230010210-1A_HTJYJDSX7_L3",9,0.272727272727273,-0.564271430438563
"z8742_T1_DKDL230009034-1A_HLGLNDSX7_L1",9,0.272727272727273,-0.564271430438563
"z9002_T1_DKDL230009031-1A_HLGLNDSX7_L1",9,0.272727272727273,-0.564271430438563
"z9651_T2_DKDL230010213-1A_HTJYJDSX7_L4",9,0.272727272727273,-0.564271430438563
"z9895_T1_DKDL230009037-1A_HLGLNDSX7_L2",9,0.272727272727273,-0.564271430438563
"BC167_T1_DKDL230008411-1A_HJJMVDSX7_L1",10,0.303030303030303,-0.518513939877888
"z1_T1_DKDL230010210-1A_HTJYJDSX7_L3",10,0.303030303030303,-0.518513939877888
"z10013_T1_DKDL230009035-1A_HLGLNDSX7_L1",10,0.303030303030303,-0.518513939877888
"z1464_T1_DKDL230010211-1A_HTJYJDSX7_L4",10,0.303030303030303,-0.518513939877888
"z2367_T1_DKDL230010209-1A_HTJYJDSX7_L3",10,0.303030303030303,-0.518513939877888
"z3603_T1_DKDL230010212-1A_HTJYJDSX7_L4",10,0.303030303030303,-0.518513939877888
